,Year,TotalIncome,TotalSavings
143,1995,107093,313
147,1996,113630,853
151,1997,120328,1617
155,1998,124565,-1596
159,1999,133049,-1208
163,2000,142293,-5708
167,2001,149872,1041
171,2002,161805,-2906
175,2003,167707,-1506
179,2004,186565,495
183,2005,199764,258
187,2006,209901,-4984
191,2007,236285,-4302
195,2008,258882,-2338
199,2009,274175,11132
203,2010,284655,5909
207,2011,305615,8816
211,2012,323556,9941
215,2013,329757,8209
219,2014,345353,9833
223,2015,358180,8099
227,2016,366224,2787
231,2017,375693,-196
235,2018,391879,-2943
239,2019,403575,-5466
243,2020,423192,52864
