,AU_gdp,CA_gdp,CN_gdp,GB_gdp,IN_gdp,JP_gdp,KR_gdp,US_gdp
0,367216364716.365,604011634216.163,734547898224.101,1341681825495.66,360281952716.79706,5449117511910.33,566583427334.1371,7639749000000.0
1,400302731411.229,628536414441.434,863746717507.397,1415482198602.78,392897054348.07104,4833714467769.62,610169556840.077,8073122000000.0
2,434568007512.91296,654987932556.605,961603952954.2329,1558110232723.26,415867753863.87396,4414734211850.09,569754543829.957,8577554457000.0
3,398899138574.239,633997734246.945,1029043097558.91,1651553549139.29,421351477504.743,4032509740336.4,383330931042.356,9062818202000.0
4,388608221581.65204,678409995711.893,1093997267277.1,1682291861034.24,458820417337.807,4562078622080.57,497512659612.052,9630664202000.0
5,415222633925.76794,744625957328.853,1211346869600.41,1658116015669.82,468394937262.37,4887519736333.69,576178114168.494,10252345464000.0
6,378376086723.194,738962729044.525,1339395718862.89,1638763127019.89,485441014538.63794,4303542577787.9,547658231279.87,10581821399000.0
7,394648911678.52704,760144201653.552,1470550015077.93,1780020183147.07,514937948870.08,4115115650037.87,627246081417.004,10936419054000.0
8,466488060570.76294,895595268613.726,1660287965663.89,2051011269893.75,607699285433.8721,4445659445309.56,702717332012.991,11458243878000.0
9,612490396927.0171,1026468064354.66,1955347004965.69,2412133362627.71,709148514804.659,4815168028753.16,793175007858.0659,12213729147000.0
10,693407758231.845,1173490981592.96,2285965892364.2,2532804038800.12,820381595512.902,4755410127548.93,934901071332.984,13036640230000.0
11,746054207846.6609,1319329094513.63,2752131773358.92,2706081105945.56,940259888792.141,4530376770501.65,1053216909887.56,13814611414000.0
12,853099630996.31,1468894773344.76,3550342737009.53,3093582736116.16,1216735441524.86,4515263396033.38,1172614086539.86,14451858656000.0
13,1053995523724.26,1552863193738.81,4594307032667.98,2921613243468.69,1198895582137.51,5037908759111.51,1047339010225.25,14712844084000.0
14,927805183330.879,1376509210192.79,5101703073088.97,2412317386405.49,1341886602798.69,5231383284722.86,943941876218.7429,14448933025000.0
15,1146138465603.81,1617343367486.26,6087163874510.73,2481579504997.81,1675615335600.56,5700098114744.41,1144066965324.49,14992052727000.0
16,1396649906339.35,1793326630174.52,7551500124197.17,2659882040934.51,1823049927772.05,6157459594823.72,1253223044718.99,15542581104000.0
17,1546151783872.96,1828366481521.6,8532229986993.65,2704017284861.91,1827637859136.23,6203213121334.12,1278427634342.59,16197007349000.0
18,1576184467015.49,1846597421834.98,9570406235659.64,2783251090198.95,1856722121394.42,5155717056270.83,1370795199976.18,16784849196000.0
19,1467483705131.74,1805749878439.94,10475682920597.7,3065521109394.94,2039127446299.3,4850413536037.84,1484318219633.63,17527163695000.0
20,1351693984524.5,1556508816217.14,11061553079871.5,2932784751846.27,2103587813812.2,4389475622588.97,1465773245547.15,18238300569000.0
21,1208846993739.99,1527994741907.43,11233276536744.7,2693247611031.81,2294797980509.51,4922538141454.62,1500111596236.37,18745075687000.0
22,1329188475752.32,1649265644244.09,12310409370894.2,2662572824912.33,2651472946375.05,4866864409657.68,1623901496835.79,19542979183000.0
23,1432881172002.17,1721822141487.59,13894817549380.3,2857507502963.1,2701111782774.57,4954806619995.19,1724845615629.26,20611860934000.0
24,1396567014733.23,1741576393905.98,14279937467431.0,2830813507746.87,2870504096717.48,5064872875604.59,1646739219509.89,21433224697000.0
25,1330900925056.98,1643407977068.93,14722730697890.1,2707743777173.91,2622983732006.45,,1630525005469.11,20936600000000.0
