,year,AU_goods_export,CA_goods_export,CN_goods_export,GB_goods_export,IN_goods_export,JP_goods_export,KR_goods_export,US_goods_export
0,1995,53307054295.3491,192930925885.20102,128109690000.0,242317882188.595,31238525605.8308,,119577700000.0,575204000000.0
1,1996,60515586486.3013,204868220739.75897,151077000000.0,261247038689.411,33737287502.5263,395239572032.383,124427400000.0,612113000000.0
2,1997,64969123660.5911,218461779155.957,82983000000.0,281536902140.81604,35702052076.1125,403959291244.03,132366700000.0,678366000000.0
3,1998,55848921246.0652,219948407476.112,78985000000.0,271723174226.58102,34075707693.1442,369623821298.411,127539000000.0,670416000000.0
4,1999,56029835314.3814,247714131434.279,83794000000.0,269805427789.263,36877276368.8489,398925565406.23206,136030600000.0,698524000000.0
5,2000,64039984645.4577,288048191646.866,111331687000.0,283726504736.794,43246625499.6013,454300757252.70294,169523600000.0,784939000000.0
6,2001,63666859385.98,270783696904.89,118463000000.0,275116771364.013,44793193848.5628,379094247965.074,146419600000.0,731331000000.0
7,2002,65090759266.5292,262513104538.953,145460205585.428,281781566701.938,51141118293.6083,390952973418.41,160956000000.0,698036000000.0
8,2003,70510644518.6849,283881204985.993,388297641441.493,308193254587.19604,60893318399.369,443877324403.479,194911800000.0,730445000000.0
9,2004,87128030618.7002,328561164731.484,525615268320.748,351124958043.997,77921854645.6255,533531430593.299,256053700000.0,823584000000.0
10,2005,106941616296.545,370564797070.01,694870272887.864,387286874296.37897,102403079760.161,570981940349.276,285262000000.0,913016000000.0
11,2006,124640948584.018,398505186169.46204,897660405046.06,452820652733.544,123876214466.49,619219372407.49,329110900000.0,1040905000000.0
12,2007,142512505539.395,430510292427.956,1131606052785.08,447951544055.91296,153529580289.60098,680623001131.03,382802800000.0,1165153000000.0
13,2008,188946626618.983,460228612614.91,1349973680605.82,469814805631.82104,199065097558.44,749117909760.216,432909600000.0,1308794000000.0
14,2009,154778034177.391,323035491535.324,1127160048461.54,356411798152.919,167957671240.17902,548145189337.79205,363931100000.0,1070330000000.0
15,2010,213809673280.712,392358819093.85,1486412027200.06,411731252759.488,230967060094.88602,735436367446.3441,463834700000.0,1290279000000.0
16,2011,271925907371.409,461444583689.74396,1807805443488.65,483527463283.051,307847488405.908,789951046111.783,587213000000.0,1498887000000.0
17,2012,258389569714.08102,462921555285.58203,1973516412824.49,471341661835.012,298320584199.861,776640145114.957,603664800000.0,1562631000000.0
18,2013,254181127140.474,466456953334.247,2148588935109.43,469018277606.795,319109794565.31604,694939954454.167,618393300000.0,1593708000000.0
19,2014,240671089555.693,480470343578.07,2243761278997.21,475705767845.623,328386908293.94104,699180562262.244,613396500000.0,1635563000000.0
20,2015,188212275427.047,411129878290.90295,2142753416452.3,430354599996.21204,272352729600.0,622037821678.568,543082500000.0,1511383000000.0
21,2016,192907105203.399,394137180748.392,1989518638921.98,402117874295.688,268614705000.0,635820697748.121,511926100000.0,1457394000000.0
22,2017,231566200236.55,424110971708.69104,2216213798034.65,433158989178.48,304106898883.26,688664982999.3679,580310200000.0,1557004000000.0
23,2018,257849005037.75302,453359123121.98706,2417442805605.76,468605098896.014,332086853293.32,735577790778.078,626266500000.0,1676950000000.0
24,2019,271440966444.50897,450803213055.659,2386640081644.25,476271233415.23206,331271580797.1,695179081587.006,556667900000.0,1652437000000.0
25,2020,250660220328.18698,391743813121.802,2497156045753.14,399208497334.544,281700527415.24,631478444566.96,516604100000.0,1435125000000.0
