,Year,AU,CA,CN,GB,IN,JP,KR,US
0,1995,18072000.0,29302311.0,1204855000.0,58019030.0,963922586.0,125472000.0,45092991.0,266278000.0
1,1996,18311000.0,29610218.0,1217550000.0,58166950.0,982365248.0,125757000.0,45524681.0,269394000.0
2,1997,18517000.0,29905948.0,1230075000.0,58316954.0,1000900028.0,126057000.0,45953580.0,272657000.0
3,1998,18711000.0,30155173.0,1241935000.0,58487141.0,1019483586.0,126400000.0,46286503.0,275854000.0
4,1999,18926000.0,30401286.0,1252735000.0,58682466.0,1038058154.0,126631000.0,46616677.0,279040000.0
5,2000,19153000.0,30685730.0,1262645000.0,58892514.0,1056575548.0,126843000.0,47008111.0,282162411.0
6,2001,19413000.0,31020902.0,1271850000.0,59119673.0,1075000094.0,127149000.0,47370164.0,284968955.0
7,2002,19651400.0,31360079.0,1280400000.0,59370479.0,1093317187.0,127445000.0,47644736.0,287625193.0
8,2003,19895400.0,31644028.0,1288400000.0,59647577.0,1111523146.0,127718000.0,47892330.0,290107933.0
9,2004,20127400.0,31940655.0,1296075000.0,59987905.0,1129623466.0,127761000.0,48082519.0,292805298.0
10,2005,20394800.0,32243753.0,1303720000.0,60401206.0,1147609924.0,127773000.0,48184561.0,295516599.0
11,2006,20697900.0,32571174.0,1311020000.0,60846820.0,1165486291.0,127854000.0,48438292.0,298379912.0
12,2007,20827600.0,32889025.0,1317885000.0,61322463.0,1183209471.0,128001000.0,48683638.0,301231207.0
13,2008,21249200.0,33247118.0,1324655000.0,61806995.0,1200669762.0,128063000.0,49054708.0,304093966.0
14,2009,21691700.0,33628895.0,1331260000.0,62276270.0,1217726217.0,128047000.0,49307835.0,306771529.0
15,2010,22031750.0,34004889.0,1337705000.0,62766365.0,1234281163.0,128070000.0,49554112.0,309327143.0
16,2011,22340024.0,34339328.0,1344130000.0,63258810.0,1250287939.0,127833000.0,49936638.0,311583481.0
17,2012,22733465.0,34714222.0,1350695000.0,63700215.0,1265780243.0,127629000.0,50199853.0,313877662.0
18,2013,23128129.0,35082954.0,1357380000.0,64128273.0,1280842119.0,127445000.0,50428893.0,316059947.0
19,2014,23475686.0,35437435.0,1364270000.0,64602298.0,1295600768.0,127276000.0,50746659.0,318386329.0
20,2015,23815995.0,35702908.0,1371220000.0,65116219.0,1310152392.0,127141000.0,51014947.0,320738994.0
21,2016,24190907.0,36109487.0,1378665000.0,65611593.0,1324517250.0,126994511.0,51217803.0,323071755.0
22,2017,24601860.0,36545295.0,1386395000.0,66058859.0,1338676779.0,126785797.0,51361911.0,325122128.0
23,2018,24982688.0,37065178.0,1392730000.0,66460344.0,1352642283.0,126529100.0,51606633.0,326838199.0
24,2019,25365745.0,37593384.0,1397715000.0,66836327.0,1366417756.0,126264931.0,51709098.0,328329953.0
25,2020,25687041.0,38005238.0,1402112000.0,67215293.0,1380004385.0,125836021.0,51780579.0,329484123.0
