Year,TotalIncome,TotalSavings
Sep-1959,3493,589
Dec-1959,3905,698
Mar-1960,3310,225
Jun-1960,3454,74
Sep-1960,3669,492
Dec-1960,4209,746
Mar-1961,3628,370
Jun-1961,3567,53
Sep-1961,3775,550
Dec-1961,4294,790
Mar-1962,3657,268
Jun-1962,3743,59
Sep-1962,3965,559
Dec-1962,4610,870
Mar-1963,3898,289
Jun-1963,3988,71
Sep-1963,4367,652
Dec-1963,5097,1013
Mar-1964,4316,387
Jun-1964,4389,55
Sep-1964,4814,745
Dec-1964,5425,888
Mar-1965,4773,416
Jun-1965,4727,-47
Sep-1965,5122,738
Dec-1965,5717,895
Mar-1966,4966,370
Jun-1966,5020,-22
Sep-1966,5597,918
Dec-1966,6292,1081
Mar-1967,5665,641
Jun-1967,5573,70
Sep-1967,5935,788
Dec-1967,6747,1059
Mar-1968,5914,356
Jun-1968,6029,27
Sep-1968,6503,995
Dec-1968,7495,1340
Mar-1969,6634,593
Jun-1969,6680,108
Sep-1969,7379,1113
Dec-1969,8281,1285
Mar-1970,7402,576
Jun-1970,7686,214
Sep-1970,8070,1114
Dec-1970,8909,1293
Mar-1971,8265,815
Jun-1971,8677,574
Sep-1971,9001,1283
Dec-1971,10109,1536
Mar-1972,9176,846
Jun-1972,9651,586
Sep-1972,10074,1551
Dec-1972,11448,2076
Mar-1973,10300,1085
Jun-1973,11129,831
Sep-1973,12066,2067
Dec-1973,14051,2579
Mar-1974,12982,1604
Jun-1974,13946,1198
Sep-1974,14859,2129
Dec-1974,17583,3372
Mar-1975,15848,2034
Jun-1975,16603,1185
Sep-1975,17282,2669
Dec-1975,20566,4159
Mar-1976,18224,1872
Jun-1976,19068,505
Sep-1976,20862,3510
Dec-1976,23162,3642
Mar-1977,21172,2066
Jun-1977,21940,592
Sep-1977,23554,3321
Dec-1977,25249,3506
Mar-1978,23466,2492
Jun-1978,24148,890
Sep-1978,25466,3390
Dec-1978,28031,4253
Mar-1979,26886,3476
Jun-1979,27177,1486
Sep-1979,28662,3892
Dec-1979,31998,5128
Mar-1980,29575,2864
Jun-1980,30498,1478
Sep-1980,32563,4505
Dec-1980,37335,6558
Mar-1981,32621,2231
Jun-1981,35207,1755
Sep-1981,37649,4533
Dec-1981,43045,7431
Mar-1982,37908,2265
Jun-1982,41386,2161
Sep-1982,42620,4148
Dec-1982,48036,7008
Mar-1983,41832,2057
Jun-1983,44185,1790
Sep-1983,45611,4696
Dec-1983,51755,7503
Mar-1984,47725,4233
Jun-1984,49990,2945
Sep-1984,50520,5153
Dec-1984,57062,9092
Mar-1985,51341,4837
Jun-1985,54355,2584
Sep-1985,55407,4280
Dec-1985,62698,7711
Mar-1986,57960,4828
Jun-1986,60862,2318
Sep-1986,61896,3827
Dec-1986,68444,6732
Mar-1987,63652,3582
Jun-1987,66976,1703
Sep-1987,68194,4344
Dec-1987,74202,5730
Mar-1988,69830,3324
Jun-1988,72453,1816
Sep-1988,74998,4276
Dec-1988,82555,7725
Mar-1989,78857,5027
Jun-1989,82765,2242
Sep-1989,85117,4288
Dec-1989,92992,8606
Mar-1990,88202,6252
Jun-1990,91021,2456
Sep-1990,91342,5674
Dec-1990,96833,8062
Mar-1991,89462,4847
Jun-1991,91054,2018
Sep-1991,90900,5020
Dec-1991,95692,5320
Mar-1992,91677,4942
Jun-1992,91570,1124
Sep-1992,93532,5884
Dec-1992,96719,4070
Mar-1993,94619,5752
Jun-1993,94626,1391
Sep-1993,96235,5045
Dec-1993,100625,3411
Mar-1994,98275,5312
Jun-1994,101131,3300
Sep-1994,102790,5510
Dec-1994,107766,4150
Mar-1995,106028,5128
Jun-1995,107093,313
Sep-1995,110216,5510
Dec-1995,117273,5212
Mar-1996,112756,5320
Jun-1996,113630,853
Sep-1996,116900,6947
Dec-1996,125359,8113
Mar-1997,117498,5481
Jun-1997,120328,1617
Sep-1997,122628,6996
Dec-1997,129254,4976
Mar-1998,122492,3085
Jun-1998,124565,-1596
Sep-1998,130275,4948
Dec-1998,133332,459
Mar-1999,128905,902
Jun-1999,133049,-1208
Sep-1999,136838,4161
Dec-1999,142116,559
Mar-2000,139655,3935
Jun-2000,142293,-5708
Sep-2000,147710,6304
Dec-2000,151917,-1107
Mar-2001,149798,2370
Jun-2001,149872,1041
Sep-2001,155463,6244
Dec-2001,164772,6121
Mar-2002,158704,5586
Jun-2002,161805,-2906
Sep-2002,165430,1443
Dec-2002,169590,-4680
Mar-2003,166639,113
Jun-2003,167707,-1506
Sep-2003,175080,1813
Dec-2003,183921,-2385
Mar-2004,181853,-271
Jun-2004,186565,495
Sep-2004,193248,3900
Dec-2004,200251,-1158
Mar-2005,196661,3021
Jun-2005,199764,258
Sep-2005,208467,6927
Dec-2005,212550,-994
Mar-2006,209460,868
Jun-2006,209901,-4984
Sep-2006,224634,8146
Dec-2006,229512,-1394
Mar-2007,229344,2720
Jun-2007,236285,-4302
Sep-2007,247584,10961
Dec-2007,255862,2362
Mar-2008,253539,6282
Jun-2008,258882,-2338
Sep-2008,267778,19406
Dec-2008,280068,19261
Mar-2009,266767,17432
Jun-2009,274175,11132
Sep-2009,275290,21949
Dec-2009,281042,10115
Mar-2010,279128,15565
Jun-2010,284655,5909
Sep-2010,296806,24362
Dec-2010,308056,15638
Mar-2011,305863,21817
Jun-2011,305615,8816
Sep-2011,322863,31386
Dec-2011,325496,18810
Mar-2012,319554,19109
Jun-2012,323556,9941
Sep-2012,330112,25896
Dec-2012,333946,14738
Mar-2013,329361,20185
Jun-2013,329757,8209
Sep-2013,342933,29488
Dec-2013,349033,16722
Mar-2014,342991,20299
Jun-2014,345353,9833
Sep-2014,360967,34025
Dec-2014,364264,17899
Mar-2015,356808,20253
Jun-2015,358180,8099
Sep-2015,373181,33445
Dec-2015,370803,10099
Mar-2016,365212,16337
Jun-2016,366224,2787
Sep-2016,380300,30274
Dec-2016,379982,8704
Mar-2017,377048,16056
Jun-2017,375693,-196
Sep-2017,392797,28103
Dec-2017,394882,6703
Mar-2018,391699,14893
Jun-2018,391879,-2943
Sep-2018,408734,27620
Dec-2018,410533,5615
Mar-2019,406610,15900
Jun-2019,403575,-5466
Sep-2019,423530,36287
Dec-2019,423490,9289
Mar-2020,422867,26916
Jun-2020,423192,52864
Sep-2020,449778,77169
Dec-2020,439923,33441
Mar-2021,431674,37720
